Burden,Season,Date,Low,High,,,,,,,,
Illnesses,2024-2025,5/10/2025,"9,300,000","15,600,000",,,,,,,,
Deaths,2024-2025,5/17/2025,"30,000","50,000",,,,,,,,
Hospitalizations,2024-2025,5/17/2025,"260,000","430,000",,,,,,,,
Outpatient visits,2024-2025,5/17/2025,"2,300,000","3,700,000",,,,,,,,
Illnesses,2024-2025,5/17/2025,"9,400,000","15,700,000",,,,,,,,
Deaths,2024-2025,5/24/2025,"31,000","50,000",,,,,,,,
Hospitalizations,2024-2025,5/24/2025,"270,000","430,000",,,,,,,,
Outpatient visits,2024-2025,5/24/2025,"2,300,000","3,800,000",,,,,,,,
Illnesses,2024-2025,5/24/2025,"9,600,000","15,800,000",,,,,,,,
Deaths,2024-2025,5/31/2025,"32,000","51,000",,,,,,,,
Hospitalizations,2024-2025,5/31/2025,"270,000","430,000",,,,,,,,
Outpatient visits,2024-2025,5/31/2025,"2,400,000","3,800,000",,,,,,,,
Illnesses,2024-2025,5/31/2025,"9,700,000","16,000,000",,,,,,,,
Deaths,2024-2025,6/7/2025,"32,000","51,000",,,,,,,,
Hospitalizations,2024-2025,6/7/2025,"270,000","440,000",,,,,,,,
Outpatient visits,2024-2025,6/7/2025,"2,400,000","3,800,000",,,,,,,,
Illnesses,2024-2025,6/7/2025,"9,800,000","16,100,000",,,,,,,,
Deaths,2024-2025,6/14/2025,"32,000","51,000",,,,,,,,
Hospitalizations,2024-2025,6/14/2025,"280,000","440,000",,,,,,,,
Outpatient visits,2024-2025,6/14/2025,"2,400,000","3,900,000",,,,,,,,
Illnesses,2024-2025,6/14/2025,"9,900,000","16,200,000",,,,,,,,
Deaths,2024-2025,6/21/2025,"33,000","52,000",,,,,,,,
Hospitalizations,2024-2025,6/21/2025,"280,000","450,000",,,,,,,,
Outpatient visits,2024-2025,6/21/2025,"2,500,000","3,900,000",,,,,,,,
Illnesses,2024-2025,6/21/2025,"10,100,000","16,400,000",,,,,,,,
Deaths,2024-2025,7/5/2025,"34,000","53,000",,,,,,,,
Hospitalizations,2024-2025,7/5/2025,"290,000","450,000",,,,,,,,
Outpatient visits,2024-2025,7/5/2025,"2,500,000","4,000,000",,,,,,,,
Illnesses,2024-2025,7/5/2025,"10,400,000","16,700,000",,,,,,,,
Deaths,2024-2025,7/12/2025,"35,000","53,000",,,,,,,,
Hospitalizations,2024-2025,7/12/2025,"300,000","460,000",,,,,,,,
Outpatient visits,2024-2025,7/12/2025,"2,600,000","4,000,000",,,,,,,,
Illnesses,2024-2025,7/12/2025,"10,600,000","16,800,000",,,,,,,,
Deaths,2024-2025,7/19/2025,"35,000","54,000",,,,,,,,
Hospitalizations,2024-2025,7/19/2025,"300,000","460,000",,,,,,,,
Outpatient visits,2024-2025,7/19/2025,"2,600,000","4,100,000",,,,,,,,
Illnesses,2024-2025,7/19/2025,"10,800,000","17,100,000",,,,,,,,
Deaths,2024-2025,7/26/2025,"35,000","54,000",,,,,,,,
Hospitalizations,2024-2025,7/26/2025,"300,000","460,000",,,,,,,,
Outpatient visits,2024-2025,7/26/2025,"2,700,000","4,100,000",,,,,,,,
Illnesses,2024-2025,7/26/2025,"10,900,000","17,300,000",,,,,,,,
Deaths,2024-2025,8/2/2025,"36,000","54,000",,,,,,,,
