Flu Season,Age Group,Population,Symptomatic Illnesses,Symptomatic Illnesses 95% UI Lower Bound,Symptomatic Illnesses 95% UI Upper Bound,Symptomatic Illness Rate,Symptomatic Illness Rate 95% UI Lower Bound,Symptomatic Illness Rate 95% UI Upper Bound,Medical Visits,Medical Visits 95% UI Lower Bound,Medical Visits 95% UI Upper Bound,Medical Visit Rate,Medical Visit Rate 95% UI Lower Bound,Medical Visit Rate 95% UI Upper Bound,Hospitalizations,Hospitalizations 95% UI Lower Bound,Hospitalizations 95% UI Upper Bound,Hospitalization Rate,Hospitalization Rate 95% UI Lower Bound,Hospitalization Rate 95% UI Upper Bound,Deaths,Deaths 95% UI Lower Bound,Deaths 95% UI Upper Bound,Death Rate,Death Rate 95% UI Lower Bound,Death Rate 95% UI Upper Bound
2017-2018,65+ yrs,50858679,5124978,3497476,9086281,10076.9,6876.9,17865.7,2869988,1779250,5318764,5643.1,3498.4,10457.9,465907,317952,826026,916.1,625.2,1624.2,43264,27831,90226,85.1,54.7,177.4
2017-2018,All Ages,325719178,40974598,35361297,52865929,12579.7,10856.4,16230.5,18923150,15875975,24784852,5809.7,4874.1,7609.3,709682,556889,1089406,217.9,171,334.5,51835,36308,98655,15.9,11.1,30.3
2018-2019,0-4 yrs,19810275,2914867,2365213,4081204,14713.9,11939.3,20601.5,1952961,1461312,2814758,9858.3,7376.5,14208.6,20321,16489,28452,102.6,83.2,143.6,225,71,681,1.1,0.4,3.4
2018-2019,5-17 yrs,53589067,6409815,5021752,9128739,11961,9370.9,17034.7,3333104,2416755,4896837,6219.7,4509.8,9137.8,17575,13769,25030,32.8,25.7,46.7,162,29,564,0.3,0.1,1.1
2018-2019,18-49 yrs,138179699,10150228,7478296,17307362,7345.7,5412,12525.3,3755584,2434631,6532852,2717.9,1761.9,4727.8,56973,41976,97146,41.2,30.4,70.3,1668,981,4725,1.2,0.7,3.4
2018-2019,50-64 yrs,63157200,7570994,5660323,12907807,11987.5,8962.3,20437.6,3255528,2097769,5806968,5154.6,3321.5,9194.5,80288,60026,136884,127.1,95,216.7,4640,2943,12792,7.3,4.7,20.3
2018-2019,65+ yrs,52431193,2420025,1617918,5109840,4615.6,3085.8,9745.8,1355214,826969,2899706,2584.7,1577.2,5530.5,220002,147083,464531,419.6,280.5,886,24811,14636,70722,47.3,27.9,134.9
2018-2019,All Ages,327167434,29465930,25465732,39185884,9006.4,7783.7,11977.3,13652391,11429716,18125015,4172.9,3493.5,5540,395160,317089,646999,120.8,96.9,197.8,31506,21379,79108,9.6,6.5,24.2
2019-2020,0-4 yrs,19576683,3483917,2772930,6360208,17796.3,14164.5,32488.7,2334224,1698525,4276257,11923.5,8676.3,21843.6,24288,19332,44341,124.1,98.8,226.5,346,121,1553,1.8,0.6,7.9
2019-2020,5-17 yrs,53462467,6451335,4914513,13783704,12067,9192.5,25782,3354694,2322073,7320836,6274.9,4343.4,13693.4,17689,13475,37794,33.1,25.2,70.7,153,25,700,0.3,0,1.3
2019-2020,18-49 yrs,138216422,13772745,9506997,32807025,9964.6,6878.3,23736,5095916,3103891,12197913,3686.9,2245.7,8825.2,77307,53363,184146,55.9,38.6,133.2,2390,1346,9673,1.7,1,7
2019-2020,50-64 yrs,62925688,8421049,6105672,17556938,13382.5,9703,27901.1,3621051,2284281,7831311,5754.5,3630.1,12445.3,89303,64749,186186,141.9,102.9,295.9,5945,3477,24805,9.4,5.5,39.4
2019-2020,65+ yrs,54058263,1897633,1306181,4234707,3510.3,2416.2,7833.6,1062675,655287,2407392,1965.8,1212.2,4453.3,172512,118744,384973,319.1,219.7,712.1,16831,10004,71129,31.1,18.5,131.6
2019-2020,All Ages,328239523,34026679,27924786,57709500,10366.4,8507.4,17581.5,15468560,12494104,25593408,4712.6,3806.4,7797.2,381099,308860,653726,116.1,94.1,199.2,25666,17896,88084,7.8,5.5,26.8
2021-2022,0-4 yrs,18827338,799711,623793,1296423,4247.6,3313.2,6885.9,535806,387039,891098,2845.9,2055.7,4733,5575,4349,9038,29.6,23.1,48,0,0,0,0,0,0
2021-2022,5-17 yrs,54739095,2833787,1968703,5893747,5176.9,3596.5,10767,1473569,966763,3115489,2692,1766.1,5691.5,7770,5398,16160,14.2,9.9,29.5,0,0,0,0,0,0
2021-2022,18-49 yrs,138769369,5095320,3197763,11811071,3671.8,2304.4,8511.3,1885269,1067851,4511267,1358.6,769.5,3250.9,28600,17949,66296,20.6,12.9,47.8,140,0,501,0.1,0,0.4
2021-2022,50-64 yrs,63709990,1913390,1234030,4328148,3003.3,1936.9,6793.5,822758,479081,1923046,1291.4,752,3018.4,20291,13087,45899,31.8,20.5,72,801,393,2178,1.3,0.6,3.4
2021-2022,65+ yrs,55847953,679586,429263,1629286,1216.9,768.6,2917.4,380568,221418,928215,681.4,396.5,1662,61781,39024,148117,110.6,69.9,265.2,5368,3082,14772,9.6,5.5,26.5
2021-2022,All Ages,331893745,11321794,8994928,19582249,3411.3,2710.2,5900.2,5097970,4013704,8598803,1536,1209.3,2590.8,124017,96579,226772,37.4,29.1,68.3,6309,3980,15863,1.9,1.2,4.8
